vacancy_titile;salary_from;salary_to;salary_currency;vacancy_link;site_from
Data Analyst;;;;https://hh.ru/vacancy/67682583?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior DevOps Engineer;;;;https://hh.ru/vacancy/67826215?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer for R&D team;;;;https://hh.ru/vacancy/67772415?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67659794?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67659795?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67499060?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67655667?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/67655653?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
DevOps инженер;;;;https://hh.ru/vacancy/67278491?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Protocol Engineer;;;;https://hh.ru/vacancy/67785553?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior DevOps engineer;;;;https://hh.ru/vacancy/55149677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior DevOps engineer;;;;https://hh.ru/vacancy/66990293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle/Senior Data Scientist;200000.00;;руб;https://hh.ru/vacancy/67231044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Архитектор информационных систем (Big Data);;;;https://hh.ru/vacancy/66071822?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / Архитектор данных;150000.00;250000.00;руб;https://hh.ru/vacancy/67707391?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / Архитектор данных;150000.00;250000.00;руб;https://hh.ru/vacancy/67707392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / Архитектор данных;150000.00;250000.00;руб;https://hh.ru/vacancy/67707393?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / Архитектор данных;150000.00;250000.00;руб;https://hh.ru/vacancy/67707394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / Архитектор данных;150000.00;250000.00;руб;https://hh.ru/vacancy/67707395?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Devops Engineer (удалённо) Голограмма;;;;https://hh.ru/vacancy/55202763?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Lead/Senior Data Engineer/Data Analyst;;;;https://hh.ru/vacancy/67707072?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
System Engineer (DevOps);;;;https://hh.ru/vacancy/67519101?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (DWH);;;;https://hh.ru/vacancy/54960222?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (SberID);;;;https://hh.ru/vacancy/67649964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Тестировщик (QA Engineer);;;;https://hh.ru/vacancy/66957935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Lead Data Engineer;;;;https://hh.ru/vacancy/66825694?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
DevOps Engineer (to Cyprus);;;;https://hh.ru/vacancy/67043576?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Data Scientist;4000.00;5000.00;USD;https://hh.ru/vacancy/67613430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Старший разработчик (ML engineer);;;;https://hh.ru/vacancy/55033440?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
"Computer vision engineer (проект ""Лента"")";;;;https://hh.ru/vacancy/67800087?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Machine Learning Engineer;;;;https://hh.ru/vacancy/52912384?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
C# software engineer;;;;https://hh.ru/vacancy/54146618?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Backend Engineer;3500.00;;USD;https://hh.ru/vacancy/55150345?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer в Штаб блока РБ;;;;https://hh.ru/vacancy/67696732?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;300000.00;370000.00;руб;https://hh.ru/vacancy/67590513?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;300000.00;370000.00;руб;https://hh.ru/vacancy/67590514?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
AWS Cloud Architect / DevOps Engineer, Dubai;;;;https://hh.ru/vacancy/67705534?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior NLP/Speech Research Engineer;;;;https://hh.ru/vacancy/54372021?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior NLP/Speech Research Engineer;;;;https://hh.ru/vacancy/54372020?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior NLP/Speech Research Engineer;;;;https://hh.ru/vacancy/54372019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Scientist;;;;https://hh.ru/vacancy/67716751?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
MX Engineer;;;;https://hh.ru/vacancy/66100113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;100000.00;200000.00;руб;https://hh.ru/vacancy/67589325?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer в Smart Rollout (Big Data);;;;https://hh.ru/vacancy/67652407?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Инженер направления Big Data;;;;https://hh.ru/vacancy/54602487?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer;;;;https://hh.ru/vacancy/66515167?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior QA Engineer (Armenia / Georgia / CIS);;;;https://hh.ru/vacancy/67159672?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Системный инженер;;;;https://hh.ru/vacancy/66813130?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;140000.00;руб;https://hh.ru/vacancy/67584878?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
QA Инженер;;;;https://hh.ru/vacancy/66957901?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/54192312?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/66906529?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data инженер (Ведущий аудитор);;;;https://hh.ru/vacancy/67669849?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Инженер внедрений;120000.00;160000.00;руб;https://hh.ru/vacancy/67339374?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle Data engineer (Цифровой кредитный мониторинг);;;;https://hh.ru/vacancy/67652067?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (GreenPlum);;;;https://hh.ru/vacancy/67608712?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Team Lead Data Engineer в СберМаркет;;;;https://hh.ru/vacancy/55516850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Rotating Equipment Engineer;;;;https://hh.ru/vacancy/66873454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Static Equipment Engineer;;;;https://hh.ru/vacancy/66873366?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data quality engineer/Инженер по качеству данных;;;;https://hh.ru/vacancy/67536998?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Instrumentation Engineer;;;;https://hh.ru/vacancy/66873049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Operations Engineer;;;;https://hh.ru/vacancy/39734082?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data quality engineer/Инженер по качеству данных;;;;https://hh.ru/vacancy/67536999?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
SecOps Engineer;;;;https://hh.ru/vacancy/55121734?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Lead data engineer;;;;https://hh.ru/vacancy/67605119?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer middle;;;;https://hh.ru/vacancy/67601987?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Business Data Engineer;;;;https://hh.ru/vacancy/66693212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Business Data Engineer;;;;https://hh.ru/vacancy/66693213?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data QA Engineer;;;;https://hh.ru/vacancy/67595177?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (Кампании продаж);;;;https://hh.ru/vacancy/67620175?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (Аудиторные технологии);;;;https://hh.ru/vacancy/67482739?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data инженер;;;;https://hh.ru/vacancy/67569367?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/67455462?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/67440859?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/53826687?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;160000.00;;руб;https://hh.ru/vacancy/66695631?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Science инженер, Kaldi (remote);;;;https://hh.ru/vacancy/67087632?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Quality Engineer / Data Analyst;;;;https://hh.ru/vacancy/67577530?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Control Systems Engineer;;;;https://hh.ru/vacancy/66873270?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Инженер по сопровождению;;;;https://hh.ru/vacancy/54711990?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Piping Material Engineer;;;;https://hh.ru/vacancy/66872138?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle Office Support Engineer (Murex) / Специалист поддержки (junior / middle level);;;;https://hh.ru/vacancy/67687342?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle/Senior Data Scientist (ML);;;;https://hh.ru/vacancy/66929110?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Manual QA Engineer (Data);;;;https://hh.ru/vacancy/67595346?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Manual QA Engineer (Data);;;;https://hh.ru/vacancy/67595347?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Инженер по автоматизированному тестированию;;;;https://hh.ru/vacancy/67550667?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Backend Go Engineer;;;;https://hh.ru/vacancy/67446945?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle Data Engineer;;3500.00;USD;https://hh.ru/vacancy/67539214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Application Support Engineer (GFTS);;;;https://hh.ru/vacancy/67667927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Data Engineer;;;;https://hh.ru/vacancy/54975410?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/66537908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
ИТ- инженер 2 линии;;160000.00;руб;https://hh.ru/vacancy/67803849?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data инженер;;;;https://hh.ru/vacancy/52666026?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
DevOps инженер на ML платформу (MLOps);;;;https://hh.ru/vacancy/67358587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Junior SRE/DevOps (Big Data);;;;https://hh.ru/vacancy/67716483?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer в СберМаркет;;;;https://hh.ru/vacancy/55374209?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle QA Engineer (Data);;;;https://hh.ru/vacancy/67545654?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle QA Engineer (Data);;;;https://hh.ru/vacancy/67545453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle QA Engineer (Data);;;;https://hh.ru/vacancy/67545454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle QA Engineer (Data);;;;https://hh.ru/vacancy/67545455?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle QA Engineer (Data);;;;https://hh.ru/vacancy/67545456?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
